N,P,K,temperature,humidity,ph,rainfall,label
18,67,20,27.18,80.82,6.94,58.67,mungbean
131,45,17,23.46,71.27,6.93,90.33,cotton
67,45,63,27.36,79.38,6.27,74.05,tomato
15,66,21,18.43,60.82,7.01,50.39,lentil
25,67,26,28.87,40.74,5.2,98.97,pigeonpeas
69,59,37,18.8,62.57,6.53,119.84,wheat
18,71,12,13.79,22.45,5.58,120.12,kidneybeans
110,21,56,26.03,94.23,6.66,50.13,watermelon
40,38,21,28.96,64.55,6.85,78.07,blackgram
52,59,53,21.63,69.68,6.76,74.94,onion
102,19,20,22.86,66.36,7.47,167.34,coffee
11,23,29,34.0,51.51,6.6,84.47,mango
52,60,47,31.5,88.75,6.35,158.1,papaya
19,75,21,28.63,41.27,6.14,150.71,pigeonpeas
13,9,35,23.42,89.35,6.23,37.87,pomegranate
81,55,37,20.32,37.21,7.26,65.21,wheat
103,19,48,33.49,93.48,6.01,26.99,muskmelon
42,56,32,18.54,49.25,6.95,60.17,sunflower
21,42,26,25.86,44.51,6.37,49.3,mothbeans
22,23,38,29.69,59.15,5.89,103.78,mango
100,16,51,22.27,86.22,6.76,39.84,watermelon
60,51,55,20.47,61.97,5.61,56.02,potato
87,57,35,26.89,84.06,6.91,276.9,rice
102,15,45,25.05,82.3,7.0,17.0,muskmelon
76,39,35,23.74,58.47,6.89,117.4,wheat
12,32,17,23.1,82.88,6.7,41.09,mungbean
46,65,29,28.41,70.74,6.96,82.33,blackgram
20,143,174,21.77,90.39,5.78,61.85,grapes
83,44,42,25.91,95.8,6.77,198.73,jute
43,49,70,17.15,15.5,6.52,80.83,chickpea
59,36,56,21.62,68.34,7.04,61.21,onion
74,34,29,26.14,78.51,6.5,191.76,jute
32,58,22,26.38,69.85,6.66,65.17,blackgram
45,40,55,23.54,70.01,6.62,43.88,onion
109,54,18,26.54,82.68,6.66,71.2,cotton
66,75,38,15.43,52.14,6.93,100.59,barley
26,71,15,19.07,45.09,6.45,59.79,lentil
14,16,8,24.71,96.84,6.72,110.9,orange
27,143,207,25.41,77.07,6.26,96.56,grapes
66,57,36,20.47,42.19,6.67,78.45,barley
85,37,31,19.69,58.42,6.61,87.09,maize
20,63,17,25.52,44.5,5.19,128.48,pigeonpeas
61,51,45,17.67,46.11,7.1,87.47,barley
106,9,35,28.05,56.14,6.62,142.18,coffee
28,62,21,28.2,35.53,6.91,54.24,mothbeans
14,13,30,26.59,96.29,6.12,199.18,coconut
52,47,12,25.5,70.39,7.45,64.87,blackgram
23,19,12,24.07,88.73,6.12,106.06,orange
101,21,21,21.39,61.15,6.89,146.57,coffee
101,20,51,22.79,87.89,6.5,48.05,watermelon
33,55,22,35.35,52.27,6.68,59.44,groundnut
39,56,23,28.18,63.8,7.56,85.39,blackgram
89,42,38,22.82,74.68,6.65,227.83,rice
13,51,16,27.38,79.84,6.83,41.63,mungbean
25,47,25,25.99,84.73,6.13,50.07,mungbean
21,66,15,17.84,66.4,6.8,57.82,lentil
20,4,28,22.29,90.52,7.13,44.0,pomegranate
45,72,77,15.48,12.57,7.21,93.43,chickpea
65,38,41,24.68,65.79,6.39,74.34,tomato
83,29,38,23.55,86.43,6.93,189.62,jute
18,20,30,29.45,55.32,6.9,88.2,mango
97,76,58,24.61,74.94,5.23,89.02,banana
20,38,23,34.39,63.31,5.64,112.89,mango
22,127,183,20.53,88.61,5.94,93.9,apple
56,35,40,11.31,55.76,6.89,90.19,barley
123,13,41,26.7,98.47,6.17,47.34,watermelon
75,46,45,23.27,88.99,6.64,204.23,jute
14,8,41,20.1,91.73,6.86,45.36,pomegranate
61,42,43,26.95,74.63,7.29,80.56,tomato
18,62,21,24.96,51.12,7.3,36.1,lentil
76,52,39,19.59,75.45,6.06,89.68,maize
21,57,16,17.77,20.93,4.0,109.48,kidneybeans
69,36,37,26.3,46.33,5.81,43.88,sunflower
71,45,41,26.93,79.6,6.41,186.81,rice
22,11,46,19.11,89.5,7.71,39.21,pomegranate
72,50,35,16.8,51.51,6.97,111.5,barley
59,83,84,18.22,15.94,6.62,76.16,chickpea
17,29,31,31.5,49.9,5.31,77.54,mango
74,52,47,23.0,68.11,6.06,74.41,wheat
85,32,30,26.11,91.98,6.4,204.44,jute
22,10,28,26.43,91.87,6.04,160.27,coconut
94,43,35,16.13,55.56,6.55,123.78,wheat
97,15,25,25.67,56.09,7.34,189.33,coffee
72,54,56,30.41,58.36,5.57,76.57,tomato
21,10,16,23.59,93.97,7.31,107.91,orange
60,44,41,22.97,74.81,6.55,71.81,potato
21,29,23,30.85,45.15,5.56,114.15,mango
66,52,36,21.77,52.84,6.73,91.21,wheat
80,22,62,26.35,85.88,6.29,67.7,watermelon
18,12,12,22.24,94.55,7.08,109.32,orange
121,43,29,21.16,88.88,7.01,52.47,cotton
56,57,54,28.86,71.71,6.62,65.67,tomato
55,52,60,22.48,70.43,6.67,70.85,onion
49,55,48,22.18,46.41,6.02,65.96,onion
24,111,207,18.68,92.3,5.73,93.83,apple
22,63,27,26.55,57.64,5.98,117.83,pigeonpeas
26,125,187,20.62,95.84,5.87,55.74,grapes
105,14,38,24.11,87.61,6.8,12.88,muskmelon
21,75,20,21.86,63.11,6.99,53.12,lentil
54,29,48,18.74,52.36,6.97,70.36,onion
20,38,18,32.11,91.0,6.49,49.13,mungbean
25,136,188,20.62,93.05,6.17,117.61,apple
21,33,31,30.05,57.07,5.12,83.78,mango
12,16,16,21.01,91.15,5.99,105.49,orange
98,45,35,26.63,79.04,7.23,108.13,maize
43,73,27,27.61,47.24,6.39,95.97,groundnut
110,27,51,23.28,91.08,6.56,25.6,muskmelon
19,47,19,30.91,87.09,6.59,37.29,mungbean
20,6,36,20.15,92.54,6.06,22.44,pomegranate
105,16,48,28.06,87.43,6.27,55.92,watermelon
104,7,35,21.98,61.84,6.11,202.85,coffee
56,30,41,22.97,43.75,6.85,54.1,sunflower
60,53,58,23.92,55.78,6.19,64.32,potato
95,55,37,16.6,61.2,5.81,80.69,maize
78,40,31,26.78,91.55,5.8,236.89,rice
14,131,183,22.51,88.57,5.41,134.07,apple
19,61,5,17.58,20.04,6.55,103.8,kidneybeans
55,61,41,13.59,62.16,6.75,83.8,barley
16,81,10,23.93,48.21,7.23,50.8,lentil
37,72,59,33.16,92.92,6.79,189.45,papaya
50,52,35,33.37,91.04,6.64,154.45,papaya
25,62,20,20.15,45.99,6.11,53.23,lentil
48,68,48,41.03,92.4,7.22,166.1,papaya
94,47,34,24.62,85.14,6.84,198.33,jute
52,38,60,22.8,57.28,6.52,58.15,onion
48,57,67,18.84,82.55,5.7,82.59,potato
55,58,39,18.0,76.07,5.3,90.84,potato
11,130,193,18.81,90.34,5.71,109.28,apple
80,48,43,23.47,70.14,6.53,107.6,maize
30,58,24,25.25,48.4,6.74,57.29,mothbeans
53,74,58,35.6,95.09,6.65,139.83,papaya
20,77,23,17.45,69.88,6.93,62.75,lentil
18,20,32,30.05,32.75,5.61,114.72,mango
14,53,25,27.05,83.79,7.09,55.06,mungbean
68,73,36,13.46,49.78,6.56,68.23,barley
105,27,60,25.08,86.17,7.34,43.15,muskmelon
50,31,44,26.23,45.73,7.39,59.96,sunflower
120,48,18,21.37,88.43,7.96,82.15,cotton
81,65,39,19.14,56.16,7.01,74.73,barley
83,65,40,15.74,63.68,6.53,140.27,wheat
15,61,17,23.54,28.56,6.23,124.59,kidneybeans
18,68,25,23.82,49.11,6.61,49.44,lentil
23,71,21,18.98,52.96,6.74,54.58,lentil
15,11,34,22.81,87.79,5.44,43.07,pomegranate
55,73,69,19.46,10.0,7.43,67.93,chickpea
23,59,25,21.99,17.89,5.28,132.27,kidneybeans
78,52,43,22.72,83.21,6.48,63.59,maize
29,55,82,18.44,13.93,7.06,98.83,chickpea
44,31,61,21.66,57.58,6.58,78.72,onion
22,41,32,31.41,44.06,7.16,40.27,mothbeans
49,56,52,38.74,92.72,7.67,132.04,papaya
92,76,56,28.6,72.88,6.76,87.18,banana
110,90,53,26.63,85.16,6.58,90.4,banana
18,142,188,16.61,92.71,5.87,93.36,apple
22,26,33,28.48,47.15,6.62,101.02,mango
75,53,53,24.55,83.24,6.27,194.5,rice
101,27,33,22.52,55.42,7.13,162.84,coffee
40,39,22,28.75,54.63,6.51,69.93,groundnut
82,58,30,24.55,83.3,6.89,182.89,rice
21,21,33,31.65,51.71,5.31,102.4,mango
65,77,46,17.83,68.86,6.55,75.61,potato
21,10,7,22.42,89.83,6.87,106.0,orange
33,65,41,18.48,68.64,6.16,87.67,potato
20,12,10,28.26,89.89,6.39,120.55,orange
31,53,11,25.73,66.07,6.21,55.19,blackgram
48,44,41,18.75,59.31,5.22,66.37,potato
18,34,27,27.82,81.26,6.67,61.67,mungbean
17,64,19,19.41,24.05,5.5,142.4,kidneybeans
102,19,23,26.27,63.72,6.32,154.17,coffee
72,32,30,25.14,82.73,7.19,151.05,jute
31,62,15,32.75,83.0,6.55,49.37,mungbean
93,19,45,25.91,91.78,6.54,13.51,muskmelon
58,75,51,18.22,60.84,5.27,84.36,potato
17,11,11,21.79,96.0,7.3,110.31,orange
43,58,21,33.03,63.05,7.44,58.43,groundnut
27,131,197,28.24,88.16,5.24,69.03,grapes
64,31,60,16.27,53.68,7.42,68.31,onion
33,76,87,19.35,22.92,6.53,100.01,chickpea
16,16,11,22.42,91.78,6.94,101.72,orange
85,46,42,22.19,82.43,6.42,255.03,rice
56,48,55,23.41,57.03,6.81,58.68,onion
13,57,20,14.49,28.94,5.87,125.72,kidneybeans
39,58,20,30.23,62.41,7.51,58.31,blackgram
90,10,58,22.11,89.29,6.8,43.85,watermelon
66,39,51,27.21,82.95,6.88,179.96,jute
73,42,64,18.92,66.96,6.08,71.64,potato
55,46,41,13.15,58.71,6.45,92.72,barley
17,10,25,28.64,95.42,5.44,182.03,coconut
41,49,54,17.98,47.87,6.42,78.21,onion
17,63,24,27.8,46.87,7.3,57.34,mothbeans
46,45,21,18.04,60.34,6.39,41.38,sunflower
13,57,18,23.21,44.09,6.39,158.55,pigeonpeas
40,61,15,28.24,65.58,5.78,73.27,groundnut
60,56,47,12.28,43.26,7.07,80.76,barley
71,45,37,27.01,67.76,5.6,96.67,maize
28,125,171,23.2,84.03,6.51,63.28,grapes
68,37,31,30.65,78.38,6.8,202.87,jute
46,41,57,21.45,62.55,7.43,55.22,onion
23,132,219,21.76,92.64,5.95,128.56,apple
19,36,18,27.1,83.21,6.28,39.03,mungbean
98,29,38,31.87,93.97,6.21,38.03,muskmelon
126,40,23,21.84,89.16,7.14,70.7,cotton
92,22,53,27.04,96.8,7.02,32.46,muskmelon
105,14,46,23.57,85.13,5.96,12.44,muskmelon
66,46,41,18.48,60.02,6.97,123.81,wheat
29,141,227,16.69,88.31,5.6,102.95,apple
16,28,30,27.19,35.48,5.95,102.03,mango
49,70,88,21.32,14.18,6.67,76.17,chickpea
48,59,21,28.69,66.09,7.18,69.02,blackgram
66,35,33,18.66,57.59,6.11,55.09,sunflower
78,52,33,22.81,62.6,6.51,84.46,maize
33,80,27,29.91,66.54,6.75,74.32,blackgram
23,143,199,21.37,84.79,5.8,62.76,grapes
54,52,39,33.78,89.29,7.12,166.29,papaya
46,37,51,25.24,59.2,5.77,52.93,sunflower
18,81,21,17.41,49.75,6.81,54.73,lentil
47,48,17,27.01,54.47,7.04,88.06,blackgram
18,22,32,36.48,55.8,6.26,92.19,mango
18,19,36,31.82,48.45,6.25,106.33,mango
14,72,17,19.6,50.58,6.05,42.21,lentil
108,19,47,27.7,91.09,6.91,62.91,watermelon
59,45,59,19.46,55.05,6.94,78.93,onion
52,42,35,36.46,90.36,6.4,175.42,papaya
23,66,25,29.55,50.21,5.82,128.38,pigeonpeas
101,12,55,26.81,84.52,6.66,16.06,muskmelon
17,41,20,29.3,83.03,6.72,53.06,mungbean
36,67,79,12.81,24.47,7.02,81.65,chickpea
97,17,56,29.01,93.5,6.6,32.08,muskmelon
75,25,56,34.02,95.71,7.03,32.03,muskmelon
64,48,51,16.4,70.66,5.95,70.35,potato
106,43,45,26.18,87.49,7.01,157.96,jute
50,42,40,19.97,46.11,6.17,56.68,sunflower
13,12,33,24.47,90.05,7.17,51.41,pomegranate
76,26,53,28.99,91.81,6.47,20.22,muskmelon
51,34,31,24.54,57.88,6.89,67.93,sunflower
18,24,29,32.88,34.96,5.02,90.45,mango
80,51,39,21.59,67.73,6.15,93.98,maize
18,52,17,16.88,45.14,6.73,59.58,lentil
21,29,37,30.83,61.84,5.47,119.93,mango
104,21,30,19.69,48.84,6.55,172.32,coffee
33,136,176,26.52,96.73,6.01,129.84,apple
22,132,197,28.76,74.35,5.25,76.81,grapes
79,53,47,26.92,88.03,6.28,193.26,jute
40,80,73,19.63,18.0,7.11,94.09,chickpea
18,57,16,21.56,52.57,6.88,40.05,lentil
22,63,23,21.19,20.44,5.4,116.27,kidneybeans
50,53,43,21.58,63.44,6.35,64.08,tomato
48,56,15,26.68,74.87,6.34,61.75,groundnut
31,135,190,29.81,88.03,6.13,66.0,grapes
81,34,35,19.13,72.52,6.77,88.9,wheat
69,62,54,22.38,64.04,5.75,89.03,potato
37,47,55,21.37,57.05,7.6,51.77,onion
24,14,30,27.29,95.05,6.89,170.78,coconut
41,40,29,23.28,61.92,6.43,61.3,sunflower
52,66,48,42.04,90.19,7.5,148.77,papaya
84,45,42,25.2,87.79,5.83,182.22,jute
16,52,18,23.0,61.15,7.16,54.29,lentil
79,41,48,25.95,85.8,6.42,193.42,jute
30,123,205,22.96,82.91,6.45,62.73,grapes
34,43,45,12.97,55.52,6.42,51.5,sunflower
11,64,10,22.25,33.48,6.81,29.22,lentil
71,63,33,16.11,60.47,6.92,96.09,barley
80,37,32,22.99,90.35,6.37,174.91,rice
109,45,20,22.14,78.15,6.91,92.15,cotton
24,56,27,28.04,52.54,6.51,68.55,groundnut
106,71,49,27.18,80.54,6.4,112.87,banana
23,112,205,26.06,82.32,5.89,72.07,grapes
20,32,37,29.95,56.41,6.18,116.1,mango
147,59,22,27.42,68.87,6.68,72.95,cotton
33,127,219,25.7,76.88,6.92,84.91,grapes
26,144,221,24.88,82.7,6.56,59.99,grapes
24,74,26,25.44,53.8,6.38,120.52,pigeonpeas
37,55,20,31.99,53.81,6.46,82.78,groundnut
63,63,35,11.18,69.0,7.55,60.62,barley
25,7,45,19.91,87.18,6.77,52.16,pomegranate
36,56,17,32.59,39.63,6.76,52.08,groundnut
23,5,38,24.15,81.2,7.17,43.54,pomegranate
116,39,17,30.13,81.13,6.21,72.2,cotton
96,69,63,25.44,83.68,5.78,90.79,banana
37,58,22,30.2,61.38,6.38,71.15,groundnut
100,13,47,30.17,91.28,6.49,68.96,watermelon
51,58,49,26.04,53.34,6.71,75.3,tomato
65,42,52,25.26,71.54,6.38,74.73,tomato
26,121,184,16.74,88.11,5.8,76.57,grapes
41,64,17,28.38,48.47,5.64,74.98,groundnut
44,54,86,14.99,13.24,6.41,67.48,chickpea
39,47,17,27.29,69.86,7.05,57.14,blackgram
96,68,57,28.85,80.84,6.27,99.25,banana
11,31,38,33.18,41.3,5.74,83.22,mango
39,64,11,29.18,57.47,6.52,63.51,groundnut
87,40,39,14.28,76.88,6.37,182.57,rice
39,55,27,35.5,59.79,7.22,77.49,blackgram
59,60,36,23.33,60.89,5.88,94.93,potato
39,54,19,30.54,60.11,6.41,88.06,blackgram
17,9,7,26.36,95.22,7.1,122.0,orange
42,72,30,33.58,95.52,6.76,141.9,papaya
24,12,29,28.95,88.88,5.47,184.1,coconut
80,40,42,24.6,79.0,6.53,208.44,rice
22,123,206,17.19,87.67,6.01,109.67,apple
54,40,47,15.05,58.2,7.02,80.63,wheat
31,128,217,23.08,83.34,6.1,74.55,grapes
18,57,11,29.72,48.13,6.9,59.74,mothbeans
94,14,41,27.3,89.11,5.83,54.78,watermelon
58,57,57,22.77,71.87,5.94,104.29,potato
12,15,8,26.89,89.34,6.69,79.68,orange
18,70,13,28.67,54.42,6.41,91.26,pigeonpeas
61,56,59,15.18,69.39,5.7,90.44,potato
43,52,19,29.96,58.7,6.23,76.97,groundnut
19,25,32,28.46,49.77,6.0,100.5,mango
20,59,21,24.39,53.59,7.28,47.63,lentil
50,62,46,31.21,51.07,6.24,54.53,tomato
84,15,53,29.37,96.06,6.88,22.72,muskmelon
16,51,22,29.93,76.53,6.9,44.3,mungbean
19,14,33,28.65,98.68,6.26,203.21,coconut
24,60,27,27.76,32.26,6.49,52.94,mothbeans
74,51,42,25.21,59.54,6.88,121.01,wheat
103,16,64,30.63,92.42,7.04,50.65,watermelon
52,58,52,21.21,61.85,6.99,62.28,onion
97,18,29,23.33,69.39,5.99,166.36,coffee
86,56,29,20.45,71.8,6.37,241.53,rice
12,51,23,26.2,90.83,5.83,35.05,mungbean
110,57,29,26.25,83.92,6.77,109.21,cotton
57,53,41,26.28,74.53,6.85,79.32,tomato
17,56,21,21.37,10.0,6.31,141.55,kidneybeans
34,71,20,25.1,50.28,6.19,64.56,groundnut
22,23,12,24.73,92.01,6.79,95.75,orange
98,24,42,23.68,85.97,6.53,39.12,watermelon
18,53,17,20.01,16.7,5.55,112.26,kidneybeans
84,59,45,30.46,78.16,6.94,225.5,rice
80,54,27,24.69,61.62,6.27,114.18,maize
27,73,15,19.85,48.72,6.97,64.51,lentil
32,48,27,28.36,37.31,6.86,62.91,mothbeans
12,12,40,25.09,88.7,5.83,27.83,pomegranate
45,60,55,30.04,100.0,6.81,152.84,papaya
47,67,49,33.44,88.25,7.11,136.96,papaya
108,25,59,23.0,85.11,6.06,63.35,watermelon
51,38,50,22.78,57.39,7.72,59.25,onion
75,45,38,26.85,78.71,6.14,172.17,jute
25,122,195,25.01,75.12,5.77,78.88,grapes
17,18,32,35.82,52.22,5.38,100.67,mango
19,10,38,16.94,87.7,6.62,37.51,pomegranate
54,58,48,19.23,58.11,7.13,65.55,onion
29,39,23,26.44,44.82,6.77,50.91,mothbeans
67,61,48,23.45,75.95,6.15,72.29,tomato
31,143,203,17.98,93.62,6.78,130.55,apple
57,39,45,20.29,34.66,5.41,48.19,sunflower
16,47,15,22.98,23.27,5.74,112.36,kidneybeans
89,13,57,28.1,90.85,6.35,28.91,muskmelon
94,20,50,26.94,93.43,5.99,30.89,watermelon
15,125,205,23.15,80.46,6.57,76.06,grapes
100,56,20,22.81,78.11,6.19,88.9,cotton
94,18,45,24.83,88.47,7.02,32.11,muskmelon
91,21,47,30.75,95.63,6.14,31.35,muskmelon
25,10,12,22.15,92.32,7.28,100.11,orange
93,21,48,26.84,89.56,6.09,27.56,muskmelon
89,22,45,27.55,87.99,6.4,22.37,muskmelon
113,20,46,31.97,91.9,6.49,24.66,muskmelon
92,63,46,29.17,79.87,6.25,133.29,banana
37,47,14,27.0,59.47,6.62,75.18,blackgram
37,47,67,23.04,54.24,6.22,67.85,onion
53,47,56,16.75,67.45,6.41,75.77,potato
58,42,35,16.54,59.76,6.78,73.81,barley
25,64,14,24.26,49.09,6.91,62.35,lentil
42,49,18,29.88,58.41,7.72,61.47,blackgram
17,53,27,23.43,60.28,7.06,45.4,mothbeans
17,63,84,21.6,14.68,6.84,92.31,chickpea
71,58,35,21.97,62.7,6.28,102.38,maize
71,43,36,17.04,63.39,7.01,88.53,wheat
22,11,23,27.72,94.32,6.14,161.89,coconut
118,40,23,23.87,73.4,6.23,63.07,cotton
96,76,41,27.87,76.19,5.94,117.56,banana
62,43,33,24.94,77.46,5.79,263.97,rice
14,45,15,22.87,54.14,6.69,49.78,lentil
98,17,25,26.31,70.87,7.03,172.12,coffee
69,66,46,14.92,44.39,6.83,83.9,barley
47,56,55,32.19,68.86,6.86,65.29,tomato
105,21,29,25.1,48.77,6.21,161.01,coffee
43,68,16,29.27,66.77,7.28,49.72,blackgram
72,61,33,22.87,66.82,6.13,102.16,maize
66,58,48,19.21,56.53,7.38,64.51,barley
21,19,8,28.23,95.33,7.43,100.1,orange
90,54,33,24.09,62.66,6.79,95.54,maize
13,67,16,24.96,39.28,6.26,116.37,pigeonpeas
53,34,48,21.27,73.93,7.11,70.77,onion
76,42,40,21.64,49.79,6.62,81.97,maize
105,14,35,27.65,52.97,6.41,160.33,coffee
52,73,91,13.97,10.17,6.94,82.54,chickpea
93,29,44,31.08,94.53,6.53,19.64,muskmelon
87,19,52,31.49,92.54,5.86,17.33,muskmelon
65,50,61,22.75,62.93,6.16,59.26,onion
95,25,52,26.32,91.25,7.06,23.12,muskmelon
64,57,51,20.93,54.54,5.9,93.95,potato
37,47,57,19.19,64.64,6.2,53.46,onion
23,16,8,23.11,87.68,6.66,139.43,orange
15,14,7,29.67,94.37,7.21,128.54,orange
56,55,31,16.51,68.58,6.89,87.94,maize
22,75,81,19.52,36.63,6.17,100.87,chickpea
11,64,19,18.81,40.53,6.6,52.69,lentil
94,78,56,31.39,84.78,5.98,82.19,banana
21,53,18,26.62,50.48,5.86,45.85,mothbeans
72,54,36,16.46,48.32,7.84,55.89,barley
18,69,21,26.84,73.97,7.06,36.55,mungbean
95,69,53,29.62,85.86,5.5,125.78,banana
93,21,58,22.49,89.4,5.81,46.07,watermelon
54,45,71,24.99,55.96,6.52,75.03,onion
84,63,41,24.77,81.63,5.54,219.2,rice
44,42,41,23.35,47.44,6.76,56.4,sunflower
24,63,21,32.19,50.81,6.67,47.29,mothbeans
95,29,66,31.49,89.23,5.79,26.57,watermelon
50,37,36,20.03,41.86,6.44,49.89,sunflower
35,55,14,31.23,69.0,6.46,65.45,blackgram
22,18,8,26.51,91.01,7.29,112.55,orange
46,42,18,22.72,52.72,6.31,65.8,groundnut
25,7,38,26.9,89.41,5.87,33.31,pomegranate
54,52,36,23.28,58.46,6.45,71.53,barley
55,60,55,23.66,67.2,5.28,80.84,potato
82,51,58,19.18,61.54,6.68,102.67,wheat
36,54,15,29.88,56.15,7.38,70.55,blackgram
94,16,30,23.9,71.06,7.09,183.64,coffee
94,70,55,27.51,73.38,5.83,117.55,banana
21,12,11,26.64,95.47,7.39,117.37,orange
12,10,49,21.28,92.79,6.75,49.56,pomegranate
100,69,47,31.0,78.46,6.14,110.83,banana
74,49,46,22.17,64.46,6.8,73.76,wheat
20,69,16,23.02,54.03,4.76,123.65,pigeonpeas
51,56,41,17.88,72.83,5.03,99.71,potato
95,71,67,26.51,83.68,6.0,63.03,banana
29,11,26,28.6,96.7,6.02,186.66,coconut
84,28,39,25.53,83.25,6.93,196.12,jute
15,57,17,23.9,42.21,6.42,103.85,pigeonpeas
104,19,56,27.2,88.29,6.45,48.52,watermelon
66,50,41,15.22,80.5,5.55,88.97,potato
56,60,24,30.7,67.99,6.86,71.95,blackgram
36,51,21,21.98,54.49,6.93,70.82,blackgram
66,67,35,10.37,59.96,6.75,62.16,barley
11,16,7,24.26,92.93,6.91,113.46,orange
49,48,61,23.0,78.27,6.92,73.96,tomato
25,68,16,22.97,48.26,7.06,45.23,lentil
25,46,26,36.97,47.86,6.75,50.85,mothbeans
22,64,19,29.77,84.47,7.28,32.53,mungbean
17,72,10,29.98,43.57,6.18,125.04,pigeonpeas
72,39,38,25.23,82.01,6.29,179.17,jute
57,64,39,21.35,62.74,6.98,111.4,wheat
15,55,25,30.83,53.9,6.64,112.41,pigeonpeas
65,48,42,17.26,58.94,6.79,47.7,barley
57,46,53,21.51,67.48,6.29,57.7,potato
85,15,28,23.67,70.35,6.59,196.98,coffee
106,86,49,32.2,71.38,6.28,123.33,banana
42,47,54,27.84,67.33,6.91,57.33,onion
55,65,43,17.81,71.55,5.85,106.74,potato
34,54,16,23.74,36.22,5.81,63.78,mothbeans
18,71,17,16.84,21.66,5.76,131.55,kidneybeans
17,7,9,19.04,89.39,6.39,115.76,orange
15,11,10,25.23,96.63,7.15,69.39,orange
19,13,23,25.04,94.85,5.61,157.87,coconut
54,53,40,14.75,67.54,6.28,95.39,potato
32,64,18,28.51,52.75,6.5,60.51,groundnut
101,75,50,25.72,79.71,6.45,102.28,banana
41,59,74,21.56,24.18,6.9,75.69,chickpea
23,31,31,24.94,50.15,6.42,107.91,mango
51,48,65,33.69,91.56,6.41,150.48,papaya
60,42,53,21.51,62.2,6.57,31.06,onion
95,9,28,23.71,61.65,6.54,161.26,coffee
102,16,49,32.09,90.68,6.64,25.3,muskmelon
103,76,62,27.49,77.98,6.0,102.35,banana
38,73,45,35.6,87.64,6.72,155.83,papaya
60,37,31,19.71,53.75,6.78,82.4,barley
17,10,24,27.05,97.25,5.97,170.23,coconut
19,9,8,27.27,94.07,6.92,120.25,orange
39,52,13,29.54,56.98,6.24,75.26,groundnut
57,38,49,26.62,72.88,5.8,83.16,tomato
48,52,49,23.21,61.38,6.27,80.23,potato
102,21,54,32.26,86.15,6.67,32.87,muskmelon
54,55,22,33.82,61.32,6.38,64.33,groundnut
24,51,21,26.72,87.25,6.4,55.56,mungbean
23,67,18,16.29,28.37,5.75,145.95,kidneybeans
76,46,25,24.24,57.49,6.32,121.11,maize
69,26,41,23.94,81.08,6.29,183.22,jute
27,48,24,35.93,87.99,6.52,57.22,mungbean
87,29,53,18.63,59.23,6.58,107.98,wheat
84,20,40,25.11,92.0,6.36,13.7,muskmelon
73,40,36,23.54,83.37,6.52,193.67,jute
50,38,44,24.6,64.8,7.22,50.32,onion
55,40,29,15.07,68.43,6.42,152.65,wheat
21,14,9,27.43,97.01,7.1,119.83,orange
102,16,37,27.34,92.7,6.24,11.68,muskmelon
57,45,54,25.53,71.7,6.7,67.99,onion
17,7,22,26.05,93.21,4.81,197.51,coconut
42,50,60,22.26,50.58,6.63,68.38,onion
16,18,10,23.44,93.86,6.71,119.57,orange
51,57,50,31.95,95.33,7.37,147.33,papaya
61,49,56,26.2,66.36,5.88,49.46,onion
90,16,34,25.07,45.62,7.37,149.4,coffee
28,144,200,23.88,89.96,6.15,129.94,apple
24,13,22,27.04,91.8,5.97,174.35,coconut
28,68,20,30.21,49.54,7.7,29.01,mothbeans
73,44,36,21.41,82.24,6.08,228.11,rice
49,54,49,26.99,93.29,6.75,143.28,papaya
95,38,37,24.9,87.54,6.94,232.96,jute
46,66,17,31.84,66.59,6.45,60.49,groundnut
68,53,63,28.81,78.63,5.96,75.93,tomato
41,72,81,17.77,11.02,7.58,102.11,chickpea
82,45,39,25.57,84.85,6.84,175.99,jute
109,28,38,22.23,91.26,5.79,25.37,muskmelon
41,57,51,32.7,99.32,6.46,173.59,papaya
102,19,59,26.0,89.43,5.93,26.46,muskmelon
55,43,62,22.44,69.74,6.19,56.51,onion
96,25,52,25.86,91.0,6.57,34.83,watermelon
120,92,50,19.33,86.18,5.78,83.97,banana
65,45,29,16.84,51.42,6.5,44.8,sunflower
27,10,31,29.89,96.74,6.78,125.16,coconut
52,45,56,19.94,57.55,6.57,69.01,onion
102,21,27,26.57,48.82,6.38,171.12,coffee
37,87,93,24.66,16.2,7.12,52.25,chickpea
26,53,20,32.57,52.43,6.37,60.82,mothbeans
61,70,39,38.53,93.15,6.86,182.3,papaya
69,49,39,25.06,78.98,7.21,192.55,jute
51,49,47,18.98,71.13,6.28,75.59,potato
92,53,33,22.43,84.45,5.89,241.39,rice
23,124,213,27.04,81.06,6.7,72.88,grapes
14,9,46,20.53,92.72,7.1,32.26,pomegranate
21,56,25,37.15,54.62,7.08,44.94,mothbeans
5,58,23,22.77,81.96,7.13,64.48,mungbean
62,58,55,23.38,64.26,5.95,72.68,potato
46,49,71,30.54,65.42,6.58,60.2,tomato
42,71,21,27.34,54.95,6.49,59.81,groundnut
99,17,42,22.32,91.52,6.53,33.8,muskmelon
49,23,46,19.56,67.59,6.52,51.82,onion
25,12,31,22.93,90.44,6.66,32.46,pomegranate
57,35,41,21.14,73.47,6.62,121.57,wheat
18,9,31,19.48,91.23,6.5,36.91,pomegranate
22,11,25,25.49,96.47,7.19,205.08,coconut
